2단계　,,3단계　,,4단계　,,등급
신경과,C,착란,B,두통 또는 의식상태의 변화를 동반하지  않는 급성착란,CC,3
신경과,C,착란,B,"만성, 평상시에 비해 변화없음",CD,4
신경과,C,현훈,C,중증 호흡곤란,AA,1
신경과,C,현훈,C,쇼크,AB,1
신경과,C,현훈,C,무의식(GCS 3-8),AC,1
신경과,C,현훈,C,중등도 호흡곤란,AD,2
신경과,C,현훈,C,혈역학적 장애,AE,2
신경과,C,현훈,C,의식변화(GCS 9-13),AF,2
신경과,C,현훈,C,"열,면역억제 상태",AG,2
신경과,C,현훈,C,"<3 개월, T<36℃ 또는  ≥38℃",AH,2
신경과,C,현훈,C,"3-36 개월, T<32℃ 또는  ≥38℃, 그리고 아파보임",AI,2
신경과,C,현훈,C,경증 호흡곤란,AJ,3
신경과,C,현훈,C,정상 범위 밖의 활력징후,AK,3
신경과,C,현훈,C,"3-36 개월, T<32-35℃  또는 ≥38℃ 그리고 건강해 보임",AL,3
신경과,C,현훈,C,">36 개월, T≥38℃, 그리고  아파 보임",AM,3
신경과,C,현훈,C,자세변화에 의해 유발되지 않음 ±  신경학적 증상의 동반,CA,2
신경과,C,현훈,C,"자세변화에 의해 발생, 다른 신경학적  증상 없음",CB,3
신경과,C,두통,D,중증 호흡곤란,AA,1
신경과,C,두통,D,쇼크,AB,1
신경과,C,두통,D,무의식(GCS 3-8),AC,1
신경과,C,두통,D,중등도 호흡곤란,AD,2
신경과,C,두통,D,혈역학적 장애,AE,2
신경과,C,두통,D,의식변화(GCS 9-13),AF,2
신경과,C,두통,D,"열,면역억제 상태",AG,2
신경과,C,두통,D,"<3 개월, T<36℃ 또는  ≥38℃",AH,2
신경과,C,두통,D,"3-36 개월, T<32℃ 또는  ≥38℃, 그리고 아파보임",AI,2
신경과,C,두통,D,경증 호흡곤란,AJ,3
신경과,C,두통,D,정상 범위 밖의 활력징후,AK,3
신경과,C,두통,D,"3-36 개월, T<32-35℃  또는 ≥38℃ 그리고 건강해 보임",AL,3
신경과,C,두통,D,">36 개월, T≥38℃, 그리고  아파 보임",AM,3
신경과,C,두통,D,">36 개월, T≥38℃, 그리고  건강해 보임",AN,4
신경과,C,두통,D,급성 중증 통증(8-10),BA,2
신경과,C,두통,D,급성 중등도 통증(4-7),BB,3
신경과,C,두통,D,만성 중증 통증(8-10),BC,3
신경과,C,두통,D,급성 경증 통증(<4),BD,4
신경과,C,두통,D,만성 중등도 통증(4-7),BE,4
신경과,C,두통,D,만성 경증 통증(<4),BF,5
신경과,C,두통,D,"급성,중증, 지금까지 경험했던 두통 중  가장 심함",CA,2
신경과,C,두통,D,시력장애 ± 안구통증,CB,2
신경과,C,두통,D,만성 또는 반복적인 두통,CC,5
신경과,C,발작,E,중증 호흡곤란,AA,1
신경과,C,발작,E,쇼크,AB,1
신경과,C,발작,E,무의식(GCS 3-8),AC,1
신경과,C,발작,E,중등도 호흡곤란,AD,2
신경과,C,발작,E,혈역학적 장애,AE,2
신경과,C,발작,E,의식변화(GCS 9-13),AF,2
신경과,C,발작,E,"열,면역억제 상태",AG,2
신경과,C,발작,E,"<3 개월, T<36℃ 또는  ≥38℃",AH,2
신경과,C,발작,E,"3-36 개월, T<32℃ 또는  ≥38℃, 그리고 아파보임",AI,2
신경과,C,발작,E,경증 호흡곤란,AJ,3
신경과,C,발작,E,정상 범위 밖의 활력징후,AK,3
신경과,C,발작,E,"3-36 개월, T<32-35℃  또는 ≥38℃ 그리고 건강해 보임",AL,3
신경과,C,발작,E,">36 개월, T≥38℃, 그리고  아파 보임",AM,3
신경과,C,발작,E,급성 중증 통증(8-10),BA,2
신경과,C,발작,E,급성 중등도 통증(4-7),BB,3
신경과,C,발작,E,발작 중,CA,1
신경과,C,발작,E,발작 후 상태,CB,2
신경과,C,발작,E,"회복된 상태, 명료한의식",CC,3
신경과,C,보행장애/운동실조,F,중증 호흡곤란,AA,1
신경과,C,보행장애/운동실조,F,쇼크,AB,1
신경과,C,보행장애/운동실조,F,무의식(GCS 3-8),AC,1
신경과,C,보행장애/운동실조,F,중등도 호흡곤란,AD,2
신경과,C,보행장애/운동실조,F,혈역학적 장애,AE,2
신경과,C,보행장애/운동실조,F,의식변화(GCS 9-13),AF,2
신경과,C,보행장애/운동실조,F,"열,면역억제 상태",AG,2
신경과,C,보행장애/운동실조,F,"<3 개월, T<36℃ 또는  ≥38℃",AH,2
신경과,C,보행장애/운동실조,F,"3-36 개월, T<32℃ 또는  ≥38℃, 그리고 아파보임",AI,2
신경과,C,보행장애/운동실조,F,경증 호흡곤란,AJ,3
신경과,C,보행장애/운동실조,F,정상 범위 밖의 활력징후,AK,3
신경과,C,보행장애/운동실조,F,"3-36 개월, T<32-35℃  또는 ≥38℃ 그리고 건강해 보임",AL,3
신경과,C,보행장애/운동실조,F,">36 개월, T≥38℃, 그리고  아파 보임",AM,3
신경과,C,보행장애/운동실조,F,">36 개월, T≥38℃, 그리고  건강해 보임",AN,4
신경과,C,보행장애/운동실조,F,발병시간<3시간,CA,2
신경과,C,사지약화/뇌졸중 증상,G,중증 호흡곤란,AA,1
신경과,C,사지약화/뇌졸중 증상,G,쇼크,AB,1
신경과,C,사지약화/뇌졸중 증상,G,무의식(GCS 3-8),AC,1
신경과,C,사지약화/뇌졸중 증상,G,중등도 호흡곤란,AD,2
신경과,C,사지약화/뇌졸중 증상,G,혈역학적 장애,AE,2
신경과,C,사지약화/뇌졸중 증상,G,의식변화(GCS 9-13),AF,2
신경과,C,사지약화/뇌졸중 증상,G,"열,면역억제 상태",AG,2
신경과,C,사지약화/뇌졸중 증상,G,"<3 개월, T<36℃ 또는  ≥38℃",AH,2
신경과,C,사지약화/뇌졸중 증상,G,"3-36 개월, T<32℃ 또는  ≥38℃, 그리고 아파보임",AI,2
신경과,C,사지약화/뇌졸중 증상,G,경증 호흡곤란,AJ,3
신경과,C,사지약화/뇌졸중 증상,G,정상 범위 밖의 활력징후,AK,3
신경과,C,사지약화/뇌졸중 증상,G,"3-36 개월, T<32-35℃  또는 ≥38℃ 그리고 건강해 보임",AL,3
신경과,C,사지약화/뇌졸중 증상,G,">36 개월, T≥38℃, 그리고  아파 보임",AM,3
신경과,C,사지약화/뇌졸중 증상,G,급성 중증 통증(8-10),BA,2
신경과,C,사지약화/뇌졸중 증상,G,출혈성 질환(생명이나 사지에 위급한  출혈),BB,2
신경과,C,사지약화/뇌졸중 증상,G,급성 중등도 통증(4-7),BC,3
신경과,C,사지약화/뇌졸중 증상,G,출혈성 질환(중등도나 경증의 출혈),BD,3
신경과,C,사지약화/뇌졸중 증상,G,발병시간<3시간,CA,2
신경과,C,사지약화/뇌졸중 증상,G,>3시간 또는 회복된 상태,CB,3
신경과,C,두부손상,H,중증 호흡곤란,AA,1
신경과,C,두부손상,H,쇼크,AB,1
신경과,C,두부손상,H,무의식(GCS 3-8),AC,1
신경과,C,두부손상,H,중등도 호흡곤란,AD,2
신경과,C,두부손상,H,혈역학적 장애,AE,2
신경과,C,두부손상,H,의식변화(GCS 9-13),AF,2
신경과,C,두부손상,H,"열,면역억제 상태",AG,2
신경과,C,두부손상,H,"<3 개월, T<36℃ 또는  ≥38℃",AH,2
신경과,C,두부손상,H,"3-36 개월, T<32℃ 또는  ≥38℃, 그리고 아파보임",AI,2
신경과,C,두부손상,H,경증 호흡곤란,AJ,3
신경과,C,두부손상,H,정상 범위 밖의 활력징후,AK,3
신경과,C,두부손상,H,"3-36 개월, T<32-35℃  또는 ≥38℃ 그리고 건강해 보임",AL,3
신경과,C,두부손상,H,">36 개월, T≥38℃, 그리고  아파 보임",AM,3
신경과,C,두부손상,H,">36 개월, T≥38℃, 그리고  건강해 보임",AN,4
신경과,C,두부손상,H,급성 중증 통증(8-10),BA,2
신경과,C,두부손상,H,출혈성 질환(생명이나 사지에 위급한  출혈),BB,2
신경과,C,두부손상,H,고위험성 사고기전,BC,2
신경과,C,두부손상,H,급성 중등도 통증(4-7),BD,3
신경과,C,두부손상,H,출혈성 질환(중등도나 경증의 출혈),BE,3
신경과,C,두부손상,H,급성 경증 통증(<4),BF,4
신경과,C,두부손상,H,새로운 국소적 신경학적 증상,CA,2
신경과,C,두부손상,H,의식소실의 병력,CB,3
신경과,C,두부손상,H,장기간의 척추고정,CC,3
신경과,C,두부손상,H,의식소실의 병력이 없음,CD,4
신경과,C,떨림(Tremor),I,중등도 호흡곤란,AA,2
신경과,C,떨림(Tremor),I,혈역학적 장애,AB,2
신경과,C,떨림(Tremor),I,의식변화(GCS 9-13),AC,2
신경과,C,떨림(Tremor),I,"열,면역억제 상태",AD,2
신경과,C,떨림(Tremor),I,"<3 개월, T<36℃ 또는  ≥38℃",AE,2
신경과,C,떨림(Tremor),I,"3-36 개월, T<32℃ 또는  ≥38℃, 그리고 아파보임",AF,2
신경과,C,떨림(Tremor),I,경증 호흡곤란,AG,3
신경과,C,떨림(Tremor),I,정상 범위 밖의 활력징후,AH,3
신경과,C,떨림(Tremor),I,"3-36 개월, T<32-35℃  또는 ≥38℃ 그리고 건강해 보임",AI,3
신경과,C,떨림(Tremor),I,">36 개월, T≥38℃, 그리고  아파 보임",AJ,3
신경과,C,떨림(Tremor),I,">36 개월, T≥38℃, 그리고  건강해 보임",AK,4
신경과,C,떨림(Tremor),I,만성떨림,CA,4
신경과,C,감각상실/이상감각,J,새로 발병된 감각소실/이상감각,CA,3
신경과,C,감각상실/이상감각,J,만성 감각소실/이상감각,CB,4
신경과,C,축 늘어진 소아(Floppy  child),K,중증 호흡곤란,AA,1
신경과,C,축 늘어진 소아(Floppy  child),K,쇼크,AB,1
신경과,C,축 늘어진 소아(Floppy  child),K,무의식(GCS 3-8),AC,1
신경과,C,축 늘어진 소아(Floppy  child),K,중등도 호흡곤란,AD,2
신경과,C,축 늘어진 소아(Floppy  child),K,혈역학적 장애,AE,2
신경과,C,축 늘어진 소아(Floppy  child),K,의식변화(GCS 9-13),AF,2
신경과,C,축 늘어진 소아(Floppy  child),K,"열,면역억제 상태",AG,2
신경과,C,축 늘어진 소아(Floppy  child),K,"<3 개월, T<36℃ 또는  ≥38℃",AH,2
신경과,C,축 늘어진 소아(Floppy  child),K,"3-36 개월, T<32℃ 또는  ≥38℃, 그리고 아파보임",AI,2
신경과,C,축 늘어진 소아(Floppy  child),K,경증 호흡곤란,AJ,3
신경과,C,축 늘어진 소아(Floppy  child),K,정상 범위 밖의 활력징후,AK,3
신경과,C,축 늘어진 소아(Floppy  child),K,"3-36 개월, T<32-35℃  또는 ≥38℃ 그리고 건강해 보임",AL,3
신경과,C,축 늘어진 소아(Floppy  child),K,">36 개월, T≥38℃, 그리고  아파 보임",AM,3
신경과,C,축 늘어진 소아(Floppy  child),K,출혈성 질환(생명이나 사지에 위급한  출혈),BA,2
신경과,C,축 늘어진 소아(Floppy  child),K,출혈성 질환(중등도나 경증의 출혈),BB,3
신경과,C,축 늘어진 소아(Floppy  child),K,"머리를 지탱할 수 없음, 근긴장도가  없음",CA,2
신경과,C,축 늘어진 소아(Floppy  child),K,예상보다 제한적인 근육 혹은 예상보다  적은 근육,CB,3
안과,D,"화학물질 노출,눈",A,"화학물질 노출,눈",CA,2
안과,D,"이물질,눈",B,급성 중증 통증(8-10),BA,2
안과,D,"이물질,눈",B,급성 중등도 통증(4-7),BB,3
안과,D,"이물질,눈",B,급성 경증 통증(<4),BC,4
안과,D,"이물질,눈",B,이물질의 안구 관통,CA,2
안과,D,"이물질,눈",B,급성 또는 갑작스런 시력변화,CB,2
안과,D,"이물질,눈",B,급성 말초성 경증 통증,CC,5
안과,D,시력장애,C,급성 또는 갑작스런 시력장애,CA,2
안과,D,시력장애,C,만성/점진적 시력장애,CB,4
안과,D,눈통증,D,급성 중증 통증(8-10),BA,2
안과,D,눈통증,D,급성 중등도 통증(4-7),BC,3
안과,D,눈통증,D,만성 중증 통증(8-10),BD,3
안과,D,눈통증,D,급성 경증 통증(<4),BE,4
안과,D,눈통증,D,만성 중등도 통증(4-7),BF,4
안과,D,눈통증,D,만성 경증 통증(<4),BG,5
안과,D,눈통증,D,급성 또는 갑작스런 시력변화,CA,2
안과,D,"눈충혈,분비물",E,급성 중증 통증(8-10),BA,2
안과,D,"눈충혈,분비물",E,급성 중등도 통증(4-7),BB,3
안과,D,"눈충혈,분비물",E,만성 중증 통증(8-10),BC,3
안과,D,"눈충혈,분비물",E,급성 경증 통증(<4),BD,4
안과,D,"눈충혈,분비물",E,만성 중등도 통증(4-7),BE,4
안과,D,"눈충혈,분비물",E,만성 경증 통증(<4),BF,5
안과,D,"눈충혈,분비물",E,"눈충혈/분비물, 급성",CA,4
안과,D,"눈충혈,분비물",E,"눈충혈/분비물, 만성",CB,5
안과,D,눈부심,F,급성 중증 통증(8-10),BA,2
안과,D,눈부심,F,급성 중등도 통증(4-7),BB,3
안과,D,눈부심,F,급성 경증 통증(<4),BC,4
안과,D,눈부심,F,눈부심,CA,4
안과,D,복시,G,급성발병,CA,3
안과,D,복시,G,만성 복시,CB,4
안과,D,안와주위 부종,H,중등도 호흡곤란,AA,2
안과,D,안와주위 부종,H,혈역학적 장애,AB,2
안과,D,안와주위 부종,H,의식변화(GCS 9-13),AC,2
안과,D,안와주위 부종,H,"열,면역억제 상태",AD,2
안과,D,안와주위 부종,H,"<3 개월, T<36℃ 또는  ≥38℃",AE,2
안과,D,안와주위 부종,H,"3-36 개월, T<32℃ 또는  ≥38℃, 그리고 아파보임",AF,2
안과,D,안와주위 부종,H,경증 호흡곤란,AG,3
안과,D,안와주위 부종,H,정상 범위 밖의 활력징후,AH,3
안과,D,안와주위 부종,H,"3-36 개월, T<32-35℃  또는 ≥38℃ 그리고 건강해 보임",AI,3
안과,D,안와주위 부종,H,">36 개월, T≥38℃, 그리고  아파 보임",AJ,3
안과,D,안와주위 부종,H,">36 개월, T≥38℃, 그리고  건강해 보임",AK,4
안과,D,안와주위 부종,H,급성 중증 통증(8-10),BA,2
안과,D,안와주위 부종,H,급성 중등도 통증(4-7),BB,3
안과,D,안와주위 부종,H,급성 경증 통증(<4),BC,4
안과,D,안와주위 부종,H,안와주위 부종,CA,5
안과,D,눈 외상,I,급성 중증 통증(8-10),BA,2
안과,D,눈 외상,I,출혈성 질환(생명이나 사지에 위급한  출혈),BB,2
안과,D,눈 외상,I,고위험성 사고기전,BC,2
안과,D,눈 외상,I,급성 중등도 통증(4-7),BD,3
안과,D,눈 외상,I,출혈성 질환(중등도나 경증의 출혈),BE,3
안과,D,눈 외상,I,급성 경증 통증(<4),BF,3
안과,D,눈 외상,I,"관통 손상이나 화학, 직접적인 고열에  의한 손상",CA,2
안과,D,눈 외상,I,둔상에 의한 시력소실,CB,2
안과,D,눈 외상,I,급성/갑작스런 시력변화,CC,2
안과,D,눈 외상,I,분류담당자가 눈을 확인할 수 없는 상태,CD,2
안과,D,눈의 재검(Re-check),J,급성 중증 통증(8-10),BA,2
안과,D,눈의 재검(Re-check),J,급성 중등도 통증(4-7),BB,3
안과,D,눈의 재검(Re-check),J,급성 경증 통증(<4),BC,4
안과,D,눈의 재검(Re-check),J,급성 또는 갑작스런 시력변화,CA,2
안과,D,눈의 재검(Re-check),J,눈의 재확인,CB,5
코질환,E,코피,A,중증 호흡곤란,AA,1
코질환,E,코피,A,쇼크,AB,1
코질환,E,코피,A,무의식(GCS 3-8),AC,1
코질환,E,코피,A,중등도 호흡곤란,AD,2
코질환,E,코피,A,혈역학적 장애,AE,2
코질환,E,코피,A,의식변화(GCS 9-13),AF,2
코질환,E,코피,A,"열,면역억제 상태",AG,2
코질환,E,코피,A,"<3 개월, T<36℃ 또는  ≥38℃",AH,2
코질환,E,코피,A,"3-36 개월, T<32℃ 또는  ≥38℃, 그리고 아파보임",AI,2
코질환,E,코피,A,경증 호흡곤란,AJ,3
코질환,E,코피,A,정상 범위 밖의 활력징후,AK,3
코질환,E,코피,A,"3-36 개월, T<32-35℃  또는 ≥38℃ 그리고 건강해 보임",AL,3
코질환,E,코피,A,">36 개월, T≥38℃, 그리고  아파 보임",AM,3
코질환,E,코피,A,">36 개월, T≥38℃, 그리고  건강해 보임",AN,4
코질환,E,코피,A,출혈성 질환(생명이나 사지에 위급한  출혈),BA,2
코질환,E,코피,A,출혈성 질환(중등도나 경증의 출혈),BB,3
코질환,E,코피,A,"적절한 압박에도 멈추지 않는 코피,  또는 관련된 내과적 기저질환이 있는 경우",CA,2
코질환,E,코피,A,압박으로 지혈된 코피,CB,3
코질환,E,코피,A,"급성코피, 두드러진 출혈은 없음",CC,4
코질환,E,코피,A,주기적/반복적이며 두드러지지 않은 출혈,CD,5
코질환,E,코막힘/건초열,B,코막힘/건초열,CA,5
코질환,E,"이물질,코",C,중등도 호흡곤란,AA,2
코질환,E,"이물질,코",C,경증 호흡곤란,AB,3
코질환,E,"이물질,코",C,정상 범위 밖의 활력징후,AC,3
코질환,E,"이물질,코",C,"3-36 개월, T<32-35℃  또는 ≥38℃ 그리고 건강해 보임",AD,3
